허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
푸드트럭존,99,경상북도,영덕군,,경상북도 영덕군 영덕읍 창포리 328-1,,,1,"173,910원",2017-11-29,2019-09-13,연중무휴,09:00,18:00,09:00,20:00,09:00,17:00,09:00,17:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,경상북도 영덕군청,054-730-6172,2020-07-15,5180000,경상북도 영덕군
상림고운광장,4,경상남도,함양군,,경상남도 함양군 함양읍 교산리 1041,35.52532597,127.721763,1,"년9,400원",2016-10-10,2019-10-31,연중무휴,09:00,21:00,09:00,21:00,10:00,19:00,10:00,19:00,10:00,19:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,10:00,19:00,없음,경상남도 함양군,055-960-6160,2020-09-22,5460000,경상남도 함양군
함평공영주차장 내(현재 미운영),02,전라남도,함평군,전라남도 함평군 함평읍 기각리 994-12,전라남도 함평군 함평읍 기각리 994-12,,,1,"연161,920원",2016-12-16,2018-12-15,미운영,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,함평군,061-320-1644,2020-09-22,4960000,전라남도 함평군
왕송호수공원,4,경기도,의왕시,,경기도 의왕시 초평동 278번지 9호 왕송호수공원 내,,,1,"년 33,290원",2016-12-20,2019-12-14,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
왕송호수공원,4,경기도,의왕시,,경기도 의왕시 초평동 278번지 9호 왕송호수공원 내,,,1,"년 33,290원",2016-12-05,2019-12-04,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
의왕시청,8,경기도,의왕시,"경기도 의왕시 시청로 11 (고천동, 의왕시청)",경기도 의왕시 고천동 171번지 의왕시청,37.3453180672,126.9679890624,1,"년 349,910원",2017-03-20,2018-08-31,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
청계TG졸음쉼터,7,경기도,의왕시,"경기도 의왕시 안양판교로 476 (청계동, 서울외곽고속도로 청계TG졸음쉼터 내)",경기도 의왕시 청계동 산 8번지 18호 서울외곽고속도로 청계TG졸음쉼터 내,37.3932701093,127.0223095918,1,"월 100,000원",2018-02-23,2019-02-28,연중무휴,08:00,19:00,08:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
청계산 공영주차장,99,경기도,의왕시,,경기도 의왕시 청계동 77번지 청계산 공영주차장,,,1,"년 20,790원",2017-09-27,2018-12-31,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
엑스포시민광장,4,대전광역시,서구,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.3664685709,127.3880153885,4,0,2017-12-15,2018-02-18,연중무휴,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,대전광역시 서구 위생과,042-288-3332,2020-06-30,3660000,대전광역시 서구
신탄진 졸음쉼터,7,대전광역시,대덕구,대전광역시 대덕구 상서동 산 66-11,,,,,0,2020-04-01,2021-03-31,연중무휴,08:00,19:00,08:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대전광역시 대덕구,042-608-6893,2020-04-29,3680000,대전광역시 대덕구
중문해수욕장주차장,2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 색달동 2950-23,,,1,0,2015-07-22,2020-07-15,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
서귀포시시공원,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서홍동 696,,,1,70500원,2018-11-20,2020-10-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
제2산록도로 광평교차로,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 안덕면 동광리 산 28,,,1,14200원,2019-04-10,2021-04-01,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
제주컨벤션센터광장,2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 중문동 2503,,,1,0,2015-06-09,2020-04-30,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
천제연폭포주차장,2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 중문동 2232,33.2526765845,126.4183754156,1,0,2015-05-21,2020-04-30,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 가시리 산 158-4,,,1,0,2019-03-26,2021-03-23,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
남조로 사려니숲길입구,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 가시리 산 158-4,,,1,0,2019-04-01,2021-03-23,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
문화시설,03,전라남도,순천시,전라남도 순천시 환선로 133,전라남도 순천시 석현동 62-3,34.9676735966,127.4867525210,0,"314,250",2016-07-21,2016-07-21,0,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,주류,자치혁신과,061-749-5597,2020-08-10,4820000,전라남도 순천시
유원시설,99,전라남도,순천시,전라남도 순천시 석현동 50-9,전라남도 순천시 석현동 50-9,34.9694132,127.4872612,1,"314,250",2018-04-20,2018-04-20,없음,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,주류,자치혁신과,061-749-5597,2020-08-10,4820000,전라남도 순천시
만안구청,8,경기도,안양시,경기도 안양시 만안구 안양로128,,37.3866427218,126.9324066057,1,"1,317,250",2018-05-30,2019-05-29,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,안양시,031-8045-2208,2020-08-11,3830000,경기도 안양시
안양종합운동장,3,경기도,안양시,경기도 안양시 동안구 평촌대로389,,37.4051455362,126.9452343077,8,매출액 15(VAT별도),2018-03-11,2018-09-30,평일,00:00,00:00,19:00,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,안양시,031-8045-2208,2020-08-11,3830000,경기도 안양시
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 평동 23-12,,,,"연649,000원",2019-01-04,2021-01-03,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2020-08-01,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 평동 23-12,,,,"연649,000원",2019-01-04,2021-01-03,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2020-08-01,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 귤현동 396,,,,"연649,000원",2019-01-04,2021-01-03,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2020-08-01,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 평동 23-12,,,,"연649,000원",2019-01-04,2021-01-03,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2020-08-01,3550000,인천광역시 계양구
경인아라뱃길,5,인천광역시,계양구,,인천광역시 계양구 평동 23-12,,,,"연649,000원",2019-01-04,2021-01-03,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천광역시 계양구,032-450-5426,2020-08-01,3550000,인천광역시 계양구
안산자락길 숲속카페,99,서울특별시,서대문구,,서울특별시 서대문구 현저동 107-399,,,1,무상,2020-03-20,2021-02-28,일요일 ~ 수요일,00:00,00:00,00:00,00:00,09:30,,,,,,,,,,,,,,,,,,,,,,,,주류,서대문구청 보건위생과,02-330-8951,2020-01-01,3120000,서울특별시 서대문구
여주종합운동장,03,경기도,여주시,경기도 여주시 영릉로 123,경기도 여주시 월송동 1,37.2932681617,127.6244654221,1,0,2016-04-01,2019-03-31,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
여주프리미엄아울렛,99,경기도,여주시,경기도 여주시 명품로 360,경기도 여주시 상거동 460,37.2459480522,127.6123847586,10,0,2018-06-01,2018-08-31,계약일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
375st 여주아울렛,99,경기도,여주시,경기도 여주시 명품로 308-19,경기도 여주시 상거동 375-63,37.2430186886,127.6164003230,3,0,2018-07-21,2018-08-26,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,여주시,031-887-2654,2020-07-17,5700000,경기도 여주시
당항포관광지,02,경상남도,고성군,경상남도 고성군 회화면 당항만로 1116,경상남도 고성군 회화면 봉동리 950-1,35.0532261508,128.3920276219,1,0,2015-10-20,2018-10-19,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 고성군,055-670-4504,2020-07-10,5420000,경상남도 고성군
자라섬캠핑장,01,09,가평군,경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 달전리 산 7번지,,,1,"년 15,179,000원",2015-06-08,2020-06-07,연중무휴,11:00,18:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,가평군,031-580-2231,2019-09-05,4160000,경기도 가평군
진부전통시장,99,강원도,평창군,,강원도 평창군 진부면 하진부리 140,37.63780046,128.5584801,,0,2020-04-24,2030-12-31,3일+8일+13일+18일+23일+28일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2020-11-25,4280000,강원도 평창군
의림지 공영주차장,2,충청북도,제천시,충청북도 제천시 모산동 210번지 공영주차장,충청북도 제천시 모산동 210(공영주차장),37.1758154,128.2114765,2,"연187,570",2019-06-08,2021-06-07,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,식품위생법 시행령 제21조 제8호 가목의 휴게음식점영업 또는 같은 호 바목의 제과점영업 외,제천시청,043-641-3182,2020-12-06,4400000,충청북도 제천시
숭덕재활원,99,충청북도,충주시,충청북도 충주시 도장관주로 34-12(호암동),,36.9505150257,127.9216275285,1,0,2019-11-27,2024-11-26,일정하지않음,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류,충주시청 위생과,043-850-3472,2020-11-30,4390000,충청북도 충주시
평택-제천선 중앙탑 졸음쉼터 내,7,충청북도,충주시,,충청북도 충주시 중앙탑면 하구암리 352-3,,,1,0,2019-12-02,2021-01-18,없음,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,주류,충주시청 위생과,043-850-3472,2020-11-30,4390000,충청북도 충주시
이순신공원,2,경상남도,통영시,,경상남도 통영시 정량동 685-2,34.84425936,128.4419451,3,"년 1,700원",2019-10-24,2021-09-12,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,경상남도 통영시,055-650-6023,2020-12-03,5330000,경상남도 통영시
봉산면서부로,99,경상남도,합천군,경상남도 합천군 봉산면 서부로 4287,경상남도 합천군 봉산면 김봉리 349-9,35.623625,128.039857,1,0,2020-03-23,2021-12-31,토요일+일요일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,합천군청,055-930-3317,2020-12-03,5480000,경상남도 합천군
상무시민공원,4,광주광역시,서구,광주광역시 서구 상무공원로 101,광주광역시 서구 치평동 1162,35.15339511,126.8410975,1,109690,2017-05-09,2019-05-08,없음,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,19:00,10:00,17:00,10:00,17:00,영업신고 외 품목 판매금지,광주광역시 서구청,062-360-7724,2020-09-25,3600000,광주광역시 서구
풍암호수공원,4,광주광역시,서구,,광주광역시 서구 풍암동 491-3,35.126653,126.868935,1,52660,2019-05-15,2021-05-14,없음,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,19:00,10:00,17:00,10:00,17:00,영업신고 외 품목 판매금지,광주광역시 서구청,062-360-7726,2020-09-25,3600000,광주광역시 서구
황룡친수공원,4,광주광역시,광산구,,광주광역시 광산구 선암동 214-4,,,1,"월 약 43,520원",2020-06-10,2022-06-09,연중무휴,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,주류(음주행위제한),광산구,062-960-8784,2020-07-27,3630000,광주광역시 광산구
"서서울톨게이트,(서울방향)졸음쉼터 내",07,경기도,안산시 상록구,,"경기도 안산시 상록구 장하동 산 8-1,서서울톨게이트 서울방향",37.357642,126.8650475,1,0,2017-12-15,2018-12-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,상록구청 환경위생과,031-481-5235,2020-01-01,3930000,경기도 안산시
선문대학교 내,1,충청남도,아산시,충청남도 아산시 탕정면 선문로221번길 70,,36.8010412576,127.0757328350,1,0,2019-07-15,2020-07-14,토요일+일요일+공휴일,10:00,17:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,아산시,041-540-2109,2020-10-15,4520000,충청남도 아산시
"서서울톨게이트,(목포방향)졸음쉼터 내",07,경기도,안산시 상록구,"경기도 안산시 상록구 장하로 141-2, 서서울TG(목포)졸음쉼터 내 (장하동)","경기도 안산시 상록구 장하동 151,서서울TG(목포)졸음쉼터 내",37.3549176,126.8619896,1,0,2017-12-15,2018-12-14,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,상록구청 환경위생과,031-481-5235,2020-01-01,3930000,경기도 안산시
단원구노인복지관,08,경기도,안산시 단원구,"경기도 안산시 단원구 선부광장1로 134, 단원구노인복지관 주차장 좌측 일부 (선부동)",경기도 안산시 단원구 선부동 1077-9,37.3322685415,126.8105841,,0,2018-03-09,2099-12-31,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,단원구청 환경위생과,031-481-6235,2020-01-01,3930000,경기도 안산시
영남이공대학교 기계공학관 맞은편 공터,6,대구광역시,남구,대구광역시 남구 현충로 170,대구광역시 남구 대명동 317-1,35.84767574,128.5841726,1,0,2018-03-02,2018-12-15,연중무휴,11:00,14:00,00:00,00:00,,,,,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,,,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,11:00,14:00,,대구시남구청,053-664-2765,2020-09-07,3440000,대구광역시 남구
대구 남구 대덕문화전당 주차장 내,8,대구광역시,남구,대구광역시 남구 앞산순환로 478,대구광역시 남구 대명동 산201-4,35.83129333,128.5769704,2,0,2019-05-01,2019-05-05,연중무휴,10:00,16:00,00:00,00:00,,,,,,,,,10:00,16:00,,,,,,,,,,,,,,,,대구시남구청,053-664-2765,2020-09-07,3440000,대구광역시 남구
자연학습공원,4,경기도,의왕시,"경기도 의왕시 왕송못동로 307 (월암동, 자연학습공원 내)",경기도 의왕시 월암동 543번지 3호 자연학습공원 내,37.3071076256,126.9531457731,1,"년 39,930원",2016-07-07,2018-07-06,월요일+화요일+수요일+목요일+금요일,00:00,00:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,의왕시,031-345-2821,2020-11-19,4030000,경기도 의왕시
인천가족공원,4,인천광역시,부평구,"인천광역시 부평구 평온로 61, 인천가족공원 승화원 내 푸드트럭 지정장소 (부평동)",,37.4774802146,126.7167686974,1,"월 234,075",2020-05-01,2020-10-31,연중무휴,06:00,16:00,06:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,인천시설공단,032-456-2344,2020-04-29,3540000,인천광역시 부평구
아일랜드캐슬 워터파크,1,경기도,의정부시,경기도 의정부시 장곡로 22,경기도 의정부시 장암동 135,37.7069486,127.0533857858,,-,2019-08-01,2023-06-30,"1월~5월, 9월~12월",10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,스낵류,의정부시,031-828-2944,2020-07-10,3820000,경기도 의정부시
칠곡군,1,경상북도,칠곡군,,경상북도 칠곡군 석적읍 중지리 552,36.018344,128.401163,1,"년51,040원",2017-03-30,2021-03-07,없음,10:00,23:00,10:00,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,칠곡군,054-979-6674,2020-07-01,5220000,경상북도 칠곡군
강촌레일파크푸드,01,강원도,춘천시,,강원도 춘천시 남산면 강촌리 산 1,,,1,"40,000",2019-05-20,2021-05-20,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,춘천시,033-250-4511,2020-07-01,4180000,강원도 춘천시
치요남치킨강촌점,01,강원도,춘천시,,강원도 춘천시 남면 가정리 908,,,1,"300,000",2019-08-23,2020-08-31,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,춘천시,033-250-4511,2020-07-01,4180000,강원도 춘천시
관악구민종합체육센터,3,서울특별시,관악구,서울특별시 관악구 봉천동 낙성대로3길 37 관악구민종합체육센터,서울특별시 관악구 봉천동 225,37.473014,126.960306,1,시간당 45원,2019-04-15,2020-04-14,토요일+일요일,11:00,18:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 관악구청,02-879-5746,2021-03-10,3200000,서울특별시 관악구
(코로나19로 잠정 운영 중단)이천농업테마공원 공원부지,99,경기도,이천시,경기도 이천시 모가면 공원로 48,경기도 이천시 모가면 어농리 871-3,37.17960623,127.4453047,2,"년 127,820원",2022-04-20,2024-04-20,평일,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,계약서 상 명기된 품목 이외의 모든 품목,이천시시설관리공단,031-632-6607,2021-03-31,B553081,이천시시설관리공단
순천향대학교 내,1,충청남도,아산시,충청남도 아산시 남부로 370-24,,36.7681453,127.0207236303,2,120000,2019-05-21,2019-05-22,경기없는날,00:00,00:00,17:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,아산시,041-540-2109,2020-10-15,4520000,충청남도 아산시
온양온천시장 이벤트광장(푸드트럭존),1,충청남도,아산시,,충청남도 아산시 온천동 46-3 (온양온천시장 이벤트광장),36.7836861152,127.0015099169,8,"737,600",2020-01-01,2020-12-31,없음,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,아산시,041-540-2109,2020-10-15,4520000,충청남도 아산시
푸드트럭허가구역,1,전라남도,장흥군,,전라남도 장흥군 장흥읍 예양리 197-1,34.67887939,126.903591,1,0,2019-04-16,2021-03-31,우천시,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,11:00,19:00,주류,장흥군보건소,061-860-6454,2020-10-27,4910000,전라남도 장흥군
춘향골체육공원,3,전라북도,남원시,전라북도 남원시 충정로 341,전라북도 남원시 월락동 248,35.43086752,127.4054607,1,"165,000",2018-09-05,2020-09-08,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,없음,남원시청교육체육과,063-620-5619,2020-10-28,4700000,전라북도 남원시
독봉산웰빙공원,04,경상남도,거제시,,경상남도 거제시 상동동 1005-17,,,4,119595/59730,2016-12-12,2021-03-04,사정에 따라 다름,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2020-07-31,5370000,경상남도 거제시
지세포친수공간,04,경상남도,거제시,,경상남도 거제시 일운면 소동리 457-10,34.8391865,128.7012365,4,40830,2018-04-10,2021-03-04,사정에 따라 다름,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2020-07-31,5370000,경상남도 거제시
거제시보건소,99,경상남도,거제시,경상남도 거제시 수양로 506,경상남도 거제시 양정동 981,34.89168827,128.6365616,4,116540,2018-04-10,2021-03-04,사정에 따라 다름,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2020-07-31,5370000,경상남도 거제시
거제시청,99,경상남도,거제시,경상남도 거제시 계룡로 125,경상남도 거제시 고현동 717,34.88052883,128.6208143,4,103570,2018-04-10,2021-03-04,사정에 따라 다름,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,거제시청,055-639-3984,2020-07-31,5370000,경상남도 거제시
북서울꿈의숲,4,서울특별시,강북구,서울특별시 강북구 월계로173,서울특별시 강북구 번동 83-2,37.62025563,127.0443254,2,"연 15,180원",2018-11-12,2019-11-11,연중무휴,17:00,21:00,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,북서울꿈의숲,02-2289-4014,2020-06-12,3080000,서울특별시 강북구
오장폭포주차장,2,강원도,정선군,,강원도 정선군 여량면 구절리 산 2,37.540046,128.749125,1,10만원(10년치),2017-01-19,2027-01-19,없음,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,식품외품목,정선군청,033-560-2010,2020-10-28,4290000,강원도 정선군
독산역 2번출구 앞 광장,8,서울특별시,금천구,서울특별시 금천구 벚꽃로 115(가산동),서울특별시 금천구 가산동 717,37.4659873169,126.8895141687,3,"1,584,550",2020-04-01,2022-03-31,트럭별 상이,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,주류,지역경제과,02-2627-1306,2020-09-11,3170000,서울특별시 금천구
신포청년몰,99,인천광역시,중구,인천광역시 중구 우현로35번길 1,,37.47045702,126.6275216,1,"연 1,445,446원",2019-05-01,2020-07-14,월요일,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,11:00,20:00,없음,인천광역시,032-760-7347,2020-07-08,3490000,인천광역시 중구
당진시청,8,충청남도,당진시,충청남도 당진시 시청1로 1,충청남도 당진시 수청동 1002,36.8897414295,126.6459710322,1,0원,2018-05-02,2020-05-24,토요일+일요일+공휴일,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,당진시 보건소,041-360-6120,2020-09-09,5680000,충청남도 당진시
서해안고속도로 당진 졸음쉼터(상행),7,충청남도,당진시,충청남도 당진시 송악읍 서해안고속도로 265,충청남도 당진시 송악읍 영천리 366-12,36.9007504337,126.7184687379,1,원,2019-12-30,2020-12-23,평일,06:00,23:59,06:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,한국도로공사대전충남본부,042-722-6046,2020-09-09,5680000,충청남도 당진시
서해안고속도로 당진 졸음쉼터(하행),7,충청남도,당진시,충청남도 당진시 송악읍 서해안고속도로 265,충청남도 당진시 송악읍 영천리 366-12,36.9007504337,126.7184687379,1,원,2020-01-07,2020-12-23,연중무휴,06:00,23:59,06:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,한국도로공사대전충남본부,042-722-6046,2020-09-09,5680000,충청남도 당진시
당진1동행정복지센터,8,충청남도,당진시,충청남도 당진시 당진중앙1로 33,충청남도 당진시 읍내동 560,36.8932229634,126.6271384175,1,0원,2020-07-16,2020-12-15,연중무휴,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,당진시 보건소,041-360-6120,2020-09-09,5680000,충청남도 당진시
